smiles,active,group
O=C(CCCCCC(=O)N(CCc1ccccc1)C(Cc1ccccc1)C(=O)NCCc1ccccc1)NO,1,train
C=C1C(=O)[C@@]23C(CC[C@@H]1[C@H]2O)[C@]1(C)CC[C@@H](O)C(C)(C)[C@H]1C[C@H]3O,1,train
C=C1C(=O)[C@@]23[C@@H](CC[C@@H]1[C@H]2O)[C@]1(C)CCC(=O)C(C)(C)[C@H]1C[C@H]3O,1,train
C=C1C(=O)[C@@]23[C@@H](C[C@H](O)[C@@H]1[C@H]2O)[C@]1(C)[C@@H](O)C[C@H](OC(=O)C)C(C)(C)[C@H]1C[C@H]3O,1,train
C=C1[C@@H]2[C@@H](O)C[C@H]3[C@]4(C)CC[C@H](O)C(C)(C)[C@H]4CC[C@@]3([C@@H]1O)[C@@H]2OC(=O)C,1,train
O=C(CCCCCCC(=O)N(Cc1ccccc1)C(Cc1ccc(c2ccccc2)cc1)C(=O)NCCc1ccccc1)NO,1,test
Oc1[nH]c2c(Br)cccc2c1C1=Nc2ccccc2/C/1=N\OCCN1CCNCC1,1,valid
CN1CCN(CCNC(=O)c2ccc(Cl)cc2)CC1,1,train
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](N3CCN(Cc4ccc(F)cc4)CC3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1,train
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](Nc3ccc(SC(F)(F)F)cc3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1,train
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](N3CCN(C(=O)Nc4ccc(F)cc4)CC3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,1,test
Cn1nnc2c(C(=O)N)ncn2c1=O,1,train
COc1cc2c(Nc3ccc(C#N)cc3)ncnc2cc1OCCCN1CCc2ccccc2C1,1,train
CCN1CCN(CCCOc2cc3ncnc(Nc4cccc(C#N)c4)c3cc2OC)CC1,1,train
O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1cccc(F)c1,1,train
O=C(N/N=C/NC(=O)c1cnccn1)c1ccc(C(F)(F)F)cc1,1,train
NNC(=O)c1ccncc1,1,train
COC(=O)[C@]1(Cc2ccc(OC)c(CC=C(C)C)c2)OC(=O)C(=C1c1ccccc1)O,1,train
COc1ccc2c(c1C/C=C(\C)/CO)C=C(CO)OC2,1,train
CC[C@@H](CO)Nc1nc(NCc2ccccc2)n2ncc(C(C)C)c2n1,1,train
Cc1cc2c(c(=O)o1)C=C1C(C)(C)CCCC1(C)O2,1,train
C=C1C(=O)[C@@]23[C@@H]([C@@H](O)C[C@@H]1[C@H]2O)[C@]1(C)CCC[C@](C)(CO)[C@H]1C[C@H]3O,1,train
CCC[C@@H](C(=O)O)c1cc(OCc2ccccc2)cc(c2ccc(C(F)(F)F)cc2)c1,1,train
O=C([O-])C[C@@H]1CCN([C@@H](c2ccc(C(F)(F)F)nc2)C2CC2)[C@H](c2ccc(C(F)(F)F)cc2)C1,1,train
CC(C)[C@H](CO)Nc1nc(Nc2ccc(c3cccnc3)cc2)c2ncn(C(C)C)c2n1,1,train
O=C1S/C(=C\c2cn(c3ccccc3)nc2c2ccc(Cl)cc2)/C(=O)N1Cc1cccc(Br)c1,1,valid
O=C1Nc2cc(Br)ccc2/C/1=C\1/Nc2ccccc2/C1=N\OCCN1CCN(CCOCCO)CC1,1,test
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OC(=O)Cn5cc(COc6ccc(/C=C/C(=O)c7ccccc7)cc6)nn5)CC[C@]34C)[C@@H]1CCC2=O,1,test
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OC(=O)Cn5cc(COc6ccc(C(=O)/C=C/c7ccc(Br)cc7)cc6)nn5)CC[C@]34C)[C@@H]1CCC2=O,1,train
C=C1C(=O)[C@@]23[C@@H](C[C@H](OC(=O)C)[C@@H]1[C@H]2O)[C@]1(C)CC[C@@H](O)C(C)(C)[C@H]1C[C@H]3O,1,train
O=C(NCc1ccco1)C1CCN(Cc2ccccc2)CC1,1,train
CC(C)(F)CC[C@@H]1OC(C)(C)O[C@]1(C)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@H]5OC(C)(C)O[C@H]5C[C@]4(C)[C@H]3CC[C@]12C,1,valid
CC(C)(F)CC[C@@H]1OC(C)(C)O[C@]1(C)[C@H]1CC=C2C3=CC(=O)[C@@H]4C[C@H]5OC(C)(C)O[C@H]5C[C@]4(C)[C@H]3CC[C@]12C,1,train
CCCN1C(=O)S/C(=C\c2cn(c3ccccc3)nc2c2ccc(Cl)cc2)/C1=O,1,train
O=[N+]([O-])c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,1,train
FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCOCCO5)c2)cc1,1,train
