0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,active
1.726,1139.85,27.711,22.428,22.428,19.063,13.684,13.684,9.651,9.651,6.73,6.73,4.561,4.561,11.949,14.384,0,24.656,51.614,16.69,0,10.38,90.996,5.317,5.207,529.294,0.344,-3.97,39,490.369,535868575.8,29.584,16.785,10.734,230.747,13.606,0.354,13.606,0.243,0.073,0.243,-0.639,-0.354,4.484,151.963,529.681,3,7,0,0,0,3,0,3,4,3,7,0,16,0,0,0,206,10.217,6.042,0,17.722,0,0,19.591,5.48,0,0,97.416,42.374,32.352,0,3,19.591,17.722,0,15.697,0,57.408,13.09,107.686,0,0,10.797,0,0,0,46.96,33.646,0,48.794,90.996,0,0,0,98.74,0,0,0,0,0,0,0,0,0,90.333,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
1.869,610.76,17.654,14.957,14.957,11.091,9.37,9.37,9.654,9.654,8.662,8.662,7.326,7.326,17.623,20.114,0,40.471,11.994,25.683,0,0,0,27.35,0,334.214,0.85,-0.71,24,304.216,225579.072,16.742,4.715,1.588,143.504,13.137,0.393,13.137,0.17,0.038,0.17,-1.066,-0.393,2.067,90.043,334.456,3,4,4,0,4,0,0,0,4,3,4,0,0,4,0,4,134,15.32,0,5.783,0,0,0,4.795,0,0,0,27.35,60.343,5.918,23.727,4,20.114,5.783,0,0,33.999,71.187,0,12.152,0,0,0,0,0,0,39.415,4.795,33.999,52.875,12.152,0,0,0,77.76,0,0,0,0,0,0,0,0,0,56.583,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.884,650.024,17.654,14.84,14.84,11.091,9.222,9.222,9.423,9.423,8.429,8.429,7.139,7.139,23.038,19.802,0,34.735,18.415,19.262,0,0,13.847,13.503,0,332.199,0.8,-1,24,304.216,225579.072,16.467,4.585,1.534,142.872,13.12,0.392,13.12,0.17,0.044,0.17,-1.096,-0.392,2.275,89.044,332.44,2,4,4,0,4,0,0,0,4,2,4,0,0,4,0,4,132,10.213,5.783,5.783,0,0,0,9.589,0,0,0,27.35,48.507,17.754,17.623,4,19.802,11.566,0,0,33.999,65.083,0,12.152,0,0,0,0,0,0,33.987,9.589,33.999,52.875,12.152,0,0,0,74.6,0,0,0,0,0,0,0,0,0,57.917,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.86,775.122,21.679,17.461,17.461,13.316,10.449,10.449,10.455,10.455,9.089,9.089,7.661,7.661,70.353,30.015,0,30.753,0,0,6.924,0,20.771,6.579,4.737,408.215,0.818,-1.28,29,376.235,1844930.835,20.971,6.125,2.275,170.304,13.322,0.462,13.322,0.302,0.163,0.302,-1.461,-0.462,0.579,102.37,408.491,4,7,4,0,4,0,0,0,7,4,7,0,1,4,0,4,162,25.163,6.104,5.783,0,0,5.969,9.589,0,0,0,27.35,30.251,30.092,29.831,4,34.752,11.753,0,0,33.999,77.477,0,12.152,0,0,0,0,0,0,62.698,14.326,33.999,46.957,12.152,0,0,0,124.29,0,0,0,0,0,0,0,0,0,76.417,0,4,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.837,671.614,19.939,16.942,16.942,12.475,10.377,10.377,10.474,10.474,9.149,9.149,7.944,7.944,23.727,20.114,0,34.739,17.912,25.683,6.924,0,0,27.35,4.737,378.241,0.864,-0.91,27,344.237,834474.198,19.408,5.803,2.251,161.348,11.882,0.461,11.882,0.302,0.028,0.302,-0.762,-0.461,2.429,100.59,378.509,3,5,4,0,4,0,0,0,5,3,5,0,1,4,0,4,152,20.056,6.104,0,0,0,5.969,4.795,0,0,0,27.35,60.343,18.257,18.312,4,24.851,5.969,0,0,33.999,84.215,0,12.152,0,0,0,0,0,0,45.705,9.531,33.999,59.799,12.152,0,0,0,86.99,0,0,0,0,0,0,0,0,0,63.417,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.513,1461.641,31.694,25.737,25.737,22.029,15.756,15.756,11.266,11.266,7.91,7.91,5.391,5.391,11.949,14.384,0,18.235,45.194,40.659,0,10.38,90.996,29.582,5.207,605.325,0.289,-4.75,45,562.435,12927244113,33.149,18.149,11.036,265.804,13.907,0.354,13.907,0.243,0.073,0.243,-0.69,-0.354,6.498,177.149,605.779,3,7,0,0,0,4,0,4,4,3,7,0,17,0,0,0,234,10.217,6.042,0,17.722,0,0,19.591,5.48,0,0,128.103,47.08,32.352,0,4,19.591,17.722,0,15.697,0,63.953,6.545,131.951,0,11.127,10.797,0,0,0,40.415,33.77,0,55.215,115.261,0,11.127,0,98.74,0,0,0,0,0,0,0,0,0,101.667,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1.467,1147.635,20.501,16.359,17.945,14.72,10.032,10.825,7.353,8.208,5.48,6.141,3.962,4.427,0,5.107,0,5.88,23.594,59.35,0,0,42.465,36.286,9.83,467.096,0.273,-2.68,30,446.179,14758115.45,19.293,8.215,3.51,182.117,10.692,0.494,10.692,0.199,0.067,0.199,0.067,-0.494,3.396,122.101,468.355,3,7,0,2,2,2,1,3,6,3,8,0,5,0,1,1,154,20.245,18.03,5.88,0,0,0,4.9,4.992,0,0,35.488,28.063,48.146,16.768,5,9.944,43.944,0,15.201,10.148,0,39.331,58.064,0,5.88,5.317,5.687,5.88,15.93,65.744,4.838,0,11.127,57.085,0,10.903,0,85.24,0,0,0,0,0,0,0,0,0.878,58.833,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1.704,413.204,13.665,11.233,11.989,9.148,6.596,6.974,4.908,5.344,3.416,3.668,2.102,2.228,0,4.795,0,5.907,17.131,32.724,0,24.265,0,22.164,11.601,281.129,0.5,-1.1,19,261.627,22333.767,14.312,6.891,4.492,118.879,11.869,0.351,11.869,0.251,0.036,0.251,-0.036,-0.351,1.317,77.722,281.787,1,4,0,1,1,1,0,1,3,1,5,0,4,0,1,1,104,10.217,0,0,0,5.907,0,9.694,0,0,0,11.601,31.313,49.855,0,2,4.795,17.508,0,15.117,0,0,46.316,34.852,0,0,5.317,0,0,11.601,62.023,0,0,10.358,24.265,5.023,0,0,35.58,0,5.792,0,0,0,0,0,0,0,35.819,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.176,862.353,22.794,20.043,20.043,15.878,12.788,12.788,11.234,11.234,9.209,9.209,7.328,7.328,11.388,4.39,0,18.335,23.672,57.55,6.421,12.133,19.056,23.647,19.249,460.274,0.769,-1.09,33,423.294,46977180.5,22.379,8.246,3.669,195.77,13.231,0.331,13.231,0.201,0.027,0.201,-0.726,-0.331,4.151,120.078,460.59,0,6,1,5,6,1,0,1,6,0,7,0,3,1,5,6,182,9.474,12.045,11.891,5.787,0,0,9.8,14.166,0,0,25.98,55.718,50.98,0,7,23.639,0,0,9.8,23.672,76.905,26.179,35.646,0,0,0,4.39,0,0,59.885,25.794,29.489,52.018,24.265,0,0,0,43.4,0,0,0,0,0,0,0,0,13.231,54.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.385,823.969,22.018,17.777,18.594,14.596,10.92,11.737,9.542,10.681,7.555,8.294,5.987,6.526,23.187,13.171,0,34.721,17.523,25.683,12.133,12.133,6.924,19.164,19.249,459.169,0.727,-1,31,431.306,9180769.222,21.825,7.516,3.758,183.8,12.599,0.446,12.599,0.446,0.102,0.36,-4.298,-0.36,5.918,108.805,459.53,1,5,1,4,5,1,0,1,6,1,9,0,3,1,4,5,172,14.791,6.228,11.891,5.787,0,5.508,0,9.775,13.171,0,13.847,74.049,28.84,0,6,32.42,17.449,0,0,23.672,80.764,5.317,24.265,0,0,5.317,18.859,0,11.762,29.414,19.249,23.672,46.454,29.161,0,0,0,48.95,0,-0.117,0,0,0,0,0,0,37.797,39.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
